1,bodega aurrera cuautlancingo,19.108425,-98.27825833
2,forjadores e infonavit santiago cholula,19.0736417,-98.29755556
3,12 ote y 6 nte cholula,19.0648944,-98.30072778
4,recta cholula mc donalds,19.0600417,-98.29538611
5,tlaxcalancingo puente peatonal,19.0317028,-98.27349722
6,contaduria descender cu,18.9994472,-98.20423333
7,arquitectura descender cu,19.0011722,-98.20473333
8,computacion descender cu,19.0053194,-98.20540556
9,quimica descender cu,19.0046056,-98.20223333
10,administracion descender cu,19.0033306,-98.19936667
11,cultura fisica descender cu,19.0011389,-98.19455833
12,biblioteca central descender cu,18.9963556,-98.20315278
13,caale descender cu,19.0020611,-98.19654444
